iter	Passed	Remaining
823	6900	1473
824	6907	1465
825	6916	1457
826	6923	1448
827	6933	1440
828	6940	1431
829	6951	1423
830	6957	1415
831	6966	1406
832	6973	1397
833	6981	1389
834	6988	1380
835	6999	1373
836	7006	1364
837	7015	1356
838	7022	1347
839	7031	1339
840	7038	1330
841	7049	1322
842	7056	1314
843	7065	1305
844	7072	1297
845	7080	1288
846	7087	1280
847	7095	1271
848	7103	1263
849	7112	1255
850	7120	1246
851	7129	1238
852	7136	1229
853	7147	1222
854	7154	1213
855	7163	1205
856	7171	1196
857	7180	1188
858	7187	1179
859	7197	1171
860	7204	1163
861	7213	1154
862	7220	1146
863	7230	1138
864	7237	1129
865	7247	1121
866	7254	1112
867	7265	1104
868	7273	1096
869	7282	1088
870	7290	1079
871	7299	1071
872	7306	1062
873	7315	1054
874	7322	1046
875	7331	1037
876	7338	1029
877	7348	1021
878	7355	1012
879	7364	1004
880	7371	995
881	7380	987
882	7387	978
883	7396	970
884	7403	962
885	7413	953
886	7420	945
887	7430	937
888	7437	928
889	7446	920
890	7454	911
891	7462	903
892	7470	895
893	7478	886
894	7486	878
895	7495	869
896	7502	861
897	7511	853
898	7518	844
899	7527	836
900	7534	827
901	7543	819
902	7550	811
903	7559	802
904	7567	794
905	7576	786
906	7583	777
907	7591	769
908	7599	760
909	7608	752
910	7615	743
911	7624	735
912	7631	727
913	7639	718
914	7646	710
915	7654	701
916	7661	693
917	7671	685
918	7677	676
919	7687	668
920	7694	660
921	7703	651
922	7710	643
923	7719	634
924	7726	626
925	7735	618
926	7742	609
927	7751	601
928	7758	592
929	7768	584
930	7775	576
931	7785	568
932	7792	559
933	7801	551
934	7808	542
935	7818	534
936	7825	526
937	7834	517
938	7841	509
939	7849	501
940	7856	492
941	7864	484
942	7872	475
943	7880	467
944	7888	459
945	7896	450
946	7904	442
947	7912	434
948	7920	425
949	7928	417
950	7936	408
951	7943	400
952	7951	392
953	7958	383
954	7967	375
955	7974	367
956	7983	358
957	7991	350
958	8000	342
959	8007	333
960	8016	325
961	8023	316
962	8031	308
963	8038	300
964	8047	291
965	8053	283
966	8062	275
967	8070	266
968	8078	258
969	8086	250
970	8095	241
971	8102	233
972	8111	225
973	8119	216
974	8127	208
975	8134	200
976	8143	191
977	8150	183
978	8157	174
979	8166	166
980	8176	158
981	8184	150
982	8193	141
983	8200	133
984	8211	125
985	8218	116
986	8226	108
987	8233	100
988	8246	91
989	8253	83
990	8263	75
991	8271	66
992	8281	58
993	8290	50
994	8298	41
995	8306	33
996	8314	25
997	8322	16
998	8330	8
999	8336	0
